gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold_CE	genelabels
g431	610.005138023685	2.31131139057989	0.276662230288045	8.34940553158161	6.86073946797668e-17	6.15339722882829e-13	TRUE	g431
g133	5269.9334689358	2.25536471689122	0.274568287072707	8.21398150823658	2.13972548286665e-16	9.59559892791551e-13	TRUE	g133
g712	372.146864294164	2.34942334882049	0.289421914380612	8.10926627000844	5.09263385082128e-16	1.52252776693387e-12	TRUE	g712
g752	2227.58509539527	2.17246626297285	0.271109417122143	8.01235065806985	1.1253645156457e-15	2.52334858520657e-12	TRUE	g752
g428	459.526734268371	2.23609975463785	0.28259710932208	7.90681402024268	2.6405966359369e-15	4.73670224554362e-12	TRUE	g428
g369	10409.2742959648	2.34501579467754	0.300443459653145	7.80542979811685	5.92991054673723e-15	8.86422794894771e-12	TRUE	g369
g99	1255.7141020676	1.90552788685692	0.252588645569368	7.54284222827732	4.59837359263471e-14	5.89183039319154e-11	TRUE	g99
g579	5957.40249496589	1.84308256152092	0.245327492926847	7.51258341123082	5.79717808463296e-14	6.49936128013412e-11	TRUE	g579
g736	248.104710037732	2.69461405385131	0.367426818326192	7.31705387758941	2.53474104103401e-13	2.52601026633712e-10	TRUE	g736
g301	30367.3881940732	2.06322725897027	0.28294676711187	7.29211639642472	3.05123367397629e-13	2.73665148218934e-10	TRUE	g301
g321	2929.2711757647	1.77987641261074	0.251206658965587	7.08496099424734	1.39083470732243e-12	1.11452864361394e-09	TRUE	
g925	1503.14270111724	2.02885385587941	0.286711429865026	7.0753077616444	1.49117445906648e-12	1.11452864361394e-09	TRUE	
g60	359.509097933359	2.91929209351668	0.417423460608438	6.98565409464074	2.8353186531074e-12	1.95615176920925e-09	TRUE	
g646	2562.41977082023	1.59760240484432	0.235622630861223	6.78003281471441	1.20148589809354e-11	7.69723358571496e-09	TRUE	
g367	1031.14202542348	2.16513827966596	0.320062584514073	6.76338955658119	1.34800141586611e-11	8.06014979926876e-09	TRUE	
g825	2598.42667493671	2.32576273774494	0.34820548214094	6.67954861618869	2.39679321775097e-11	1.34355239812553e-08	TRUE	
g50	14407.5504043046	2.23933112143287	0.340370503227697	6.57988910167129	4.70799287152091e-11	2.483881650863e-08	TRUE	
g432	325.455845222884	2.26869038151655	0.345110725922509	6.56723134587933	5.12593775820799e-11	2.55414087518708e-08	TRUE	
g115	3398.94214172717	2.53694561757663	0.395663932409097	6.41453746731592	1.4125104996437e-10	6.57010230915729e-08	TRUE	
