logFC	logCPM	PValue
g1	1.36595851043586	8.15418781816785	1.05229427845233e-14
g2	1.42706496946116	9.2588255721435	1.41470186034212e-24
g3	1.90790812210955	3.99624040203203	1.43154150857996e-09
g4	1.23594330312143	3.82056353629811	0.000315940754310283
g5	0.930589557424039	4.25195288564077	0.0319705288930674
g6	1.57987318315396	1.12480380155327	0.000122102530748698
g7	0.244804551241368	4.43089163320194	0.438060130795605
g8	0.701772539141427	2.57828451890589	0.0852314544618576
g9	1.2521491841929	2.04023068883356	0.00552197512292768
g10	0.57246933119407	7.44841780005158	0.000118627273299303
g12	1.8063778469979	2.77782574973902	0.000782733657938658
g13	0.825806938535628	6.63786106455095	0.0015252933688589
g14	1.27835566695913	6.89553829358828	0.000852324930575836
g15	1.00777865622901	0.677126666479885	0.0224731185655018
g16	1.90685449138275	0.51917258000968	0.000144011530795412
g17	0.900596326601706	1.36140385889328	0.023289891389519
g18	1.08925468653432	0.718610351321725	0.051912913470763
g19	0.716992429452192	7.89643748844527	0.00051241184017944
g20	1.30927541246664	6.36008832815688	0.0808363787558401
g22	0.555716711856603	6.16996072169651	0.0383862553559122
g23	1.67974760763219	1.62456163303405	1.13211268808907e-07
g24	1.66682507362259	9.53156868444756	7.22618180008313e-32
g25	1.14192769365575	9.76326288256661	7.36363581871514e-11
g26	1.0182433158335	7.41116039912924	1.37160194327987e-08
g27	0.504557199085247	7.02608758791687	0.00187772757134157
g29	1.31559436605451	2.75496409226558	2.5857633872108e-07
g31	1.38964474356948	9.77804796962621	2.616404702247e-13
g33	0.401302742202406	4.88194419137134	0.220790120784498
g34	1.54695677920809	7.13018679695679	0.000117665733530901
g35	1.29466047899339	7.90410672614035	1.37324425361446e-09
g36	0.797495671208235	3.70969242064476	8.06567546959104e-05
g37	1.36170952295366	8.4934876874425	7.35767029904584e-11
g39	1.37146289275551	5.8744361234157	1.19019996601155e-15
g41	1.19055774022262	1.09355698896294	0.148698567425181
g42	1.07991446533023	4.46497678150941	0.00216781723756999
g43	0.420064438416945	3.39605550558202	0.125446883653891
g44	0.585702146636056	5.16418915685396	0.0133318489152407
g46	0.508440649059466	6.61661584359912	0.00977110238186088
g47	0.93754973817399	8.56162286073691	0.0122240987504316
g48	1.07798421646257	5.42330187160356	5.54000427335427e-10
g49	1.53632667118742	11.4219636956824	3.70013972551986e-10
g50	2.19497546437692	7.90582607116379	1.11992986068798e-17
g51	2.01173716948103	6.57004820616097	6.18182811966085e-17
g52	-0.225999197406792	5.74283401145997	0.692136481437817
g53	0.690280113320769	3.24602183636281	0.573056975428395
g54	0.521715344866405	4.52300808811456	0.0867818982084787
g56	0.544825440875774	7.45384325523381	0.143084568553945
g59	1.78344123133946	7.77332015771482	3.6724053409327e-20
g61	0.0696615492104576	6.01268055705768	0.81342739766731
g62	1.49898664304884	9.3931072861587	5.5778573798146e-15
g63	0.311823911221043	4.80715086211412	0.340460375825031
g64	1.1698041299925	7.04591369223364	1.58536448537962e-05
g66	1.08895134320957	1.67381819228388	0.079090717504564
g67	0.923790512801635	8.9848081098971	6.00138699511576e-10
g69	1.32983757650948	8.41070613572254	6.76781203632448e-12
g70	1.71189448334735	1.79509355255197	0.00178592401571923
g71	1.63967507833171	5.76998672128065	1.7373760469968e-05
g72	0.718547514097217	3.76727083104548	0.00890169060837583
g73	-0.0262551449350052	3.49284562634089	0.958128017210356
g74	1.55538605820703	4.35274866112588	0.00130207291012473
g75	0.735998501603369	7.58576836598069	5.35445824378445e-06
g77	1.30291297261034	7.01455113224798	2.19156704728575e-06
g78	0.953458626120453	9.6609839526482	1.15972467636871e-05
g79	0.588314145589745	5.03763174673584	0.204997052554369
g81	0.826311181262706	4.40880462025076	0.186435296819274
g82	1.84954291343547	1.0323255922569	0.00027659595931597
g83	0.680101858760119	3.27734125293242	0.00278526647216552
g84	1.69092479943095	7.35000022550204	6.33011263629131e-07
g85	1.66624773177209	3.96584937767866	3.69550031784832e-06
g86	0.704546576905104	5.63472632512734	0.0706442530312263
g87	1.25552237486672	1.64243522349023	0.000706693656015735
g88	2.47277122397559	2.42610983242739	5.92923166920974e-05
g89	1.85995273073398	1.32393712601399	3.56640537525879e-08
g90	1.75796155896309	8.7272896549792	1.1323520460922e-25
g91	0.384536095778011	5.91686158236135	0.335193411687753
g92	1.10559425132853	9.08491664946689	5.27095668722602e-18
g93	0.477982630985195	4.87347196298991	0.0355660615762447
g94	0.606910965931219	8.97607149381942	5.77639327576272e-05
g95	1.81861399353301	3.99266325602722	5.3926087701515e-12
g96	0.79927068452137	6.90768652155195	0.00671711520463936
g97	1.055656031979	4.65075997459897	3.89473452579898e-07
g98	1.33699179239102	6.10997400152374	1.60730611316963e-09
g99	1.94547947871899	7.93105749090482	4.28707752602915e-17
g101	0.111749190026963	5.5323528558869	0.894263766674729
g102	0.457633725863257	4.86129490046669	0.216572196622049
g104	2.67216713810729	2.35916252631866	1.90893523225477e-09
g105	0.660178003076148	9.64698736389624	0.00142527458097563
g106	0.381906009965145	2.24111352719133	0.420876861691469
g107	1.07429157141601	1.46101378603753	0.00160140134773657
g109	1.67274353992368	5.54126207718835	3.72106830698732e-16
g110	1.77496033688198	7.58203769154592	1.13592227820127e-07
g111	0.525660156043009	1.33043423576435	0.513196582860307
g112	1.59579150563323	5.08343398467517	1.01341271273101e-09
g113	0.504471558718039	0.0207538370923194	0.326246549604246
g114	3.42320355873827	1.62970175744895	1.63197827893811e-08
g115	0.719537137215352	8.52285131889609	1.75528298759665e-05
g116	0.622385766650117	6.66654809885106	0.0026029912902232
g117	2.16391875056465	2.31825473483204	0.000157282584287801
g118	2.0094046595237	8.75973161653229	1.20645485754258e-42
g119	1.15721329642222	5.635067248686	7.65830654924195e-05
g120	1.38145162225516	7.9537364142399	1.00542587636426e-23
g121	1.48392064558592	8.95256489601232	2.72562043181799e-09
g122	0.539218559329857	1.38047756352331	0.255519911980054
g123	0.581779968274892	0.256644419018434	0.155964956529671
g124	2.75609302472939	5.29937744806994	3.80862034123609e-08
g125	0.689206024702024	3.03216624892481	0.0345649581532788
g126	1.81431401930887	7.17435269567284	6.79781566452012e-20
g127	1.0651637251308	1.02380664083904	0.0199770679517319
g128	1.88429705643211	1.83202374575175	1.85785666641202e-06
g129	1.77650800228452	10.9540993596942	1.94369607217154e-15
g130	1.35921726582573	6.81625986986749	1.98406371791875e-17
g131	0.696422234405682	7.63283352890167	0.000972041014062028
g132	2.1572378663967	10.746850225035	5.4139354345002e-44
g133	1.60124152406667	7.20932856262097	7.97714475153937e-24
g135	1.70354046022438	2.00172534727942	0.00619879762055822
g136	1.0460653427882	0.772367441698158	0.221739817689391
g137	1.35542166651084	6.12733123781866	1.34198841718762e-17
g138	1.69281646200001	0.839550315747533	0.00217926383051095
g140	0.84218524673233	6.94325481206036	0.000180768730952887
g141	1.27846887303513	3.05010908775188	0.00560310944983839
g142	1.59251112043252	8.61584243607408	1.51572168019004e-18
g143	2.99702984720301	9.86804963625674	5.72342860846006e-42
g144	2.20062667766647	0.566591907208939	5.3066181963033e-06
g145	1.54302186415863	5.00283228087232	2.55323078586414e-08
g146	0.91038473951671	10.2333266221805	0.0107555892923235
g147	0.909417886679008	3.58224913677338	0.0178331030281936
g149	0.550563985530942	5.44987614564865	0.117065311170568
g150	0.768807504594564	5.31098016249407	0.00099410520109855
g151	0.369281676590388	7.3785163910378	0.047554603859664
g152	2.05855641254683	5.92284811909854	2.12115499282781e-05
g153	2.12086738113111	5.02404059118516	0.00663285985047647
g154	0.736759207573072	3.15140791815173	0.00644022643169768
g155	1.46320633001518	6.69154771367567	0.00419682293912234
g156	0.584099122598365	5.70218782081999	0.0195657416770883
g157	1.9105960103773	8.40503651034731	2.01363364118973e-10
g158	1.31195503495788	3.66608824713558	0.000405972156848992
g159	2.18813114886823	6.16142122734192	1.80490568369729e-13
g161	0.533186761822324	3.7374620222068	0.0744250371856188
g162	2.35036397759665	2.53540679218864	2.8671282352171e-05
g163	-0.0247965299118444	3.067136892182	0.959099639514304
g164	0.568668836274032	3.7413671202308	0.0403594076360906
g165	2.70193936360481	3.89057878318441	1.95190437099553e-14
g166	1.33947290404669	6.54507313880779	2.85681638788701e-08
g167	1.91819555140492	1.83907485167522	0.00134338465449643
g168	0.909124399198364	4.50318712019866	0.000310762984325283
g170	1.541891537471	4.55270279129049	0.0345788141699491
g172	2.42701535489866	8.33987393090598	7.96546437756639e-25
g174	0.812869134326488	6.73365899574032	4.42665112025203e-06
g175	1.31918209136193	5.5362202061533	1.38109989114381e-12
g176	1.01657231837875	1.13123224308332	0.00843259572177653
g178	1.48194723442566	1.64071491451387	4.68075999692016e-06
g179	0.553317650810662	1.24144597693343	0.179193476423784
g180	0.714965641121192	7.88865426390981	0.0206628421203103
g182	1.22438672008618	4.59738313320562	5.86233307539022e-05
g183	0.850537879795307	4.03912837604799	0.138555535030218
g184	0.509223146457813	3.3996739685136	0.118716055795216
g185	0.860724172159768	2.9897823373244	0.0158541240637385
g186	0.944789381662406	5.39334793704846	0.0147153825462804
g187	1.42341698238683	0.841415659835474	0.000451155268698676
g188	0.223545719258456	5.11695161262118	0.505096296619724
g189	0.654422787860154	4.01727151128802	0.196474941511741
g190	0.667933941321865	1.83769759029256	0.0354435188693864
g191	1.52320752036795	9.73709675589529	5.43077281955558e-15
g192	0.7110274697657	1.83717199703584	0.00454490774453286
g193	0.953997659403079	6.67437740488478	0.0115698714893507
g194	0.763517482281019	4.42185742670109	0.0100568328176275
g195	0.974540055228286	4.45361002403911	0.000512210050835265
g196	1.92377340404119	6.7347551246	1.01719880586357e-12
g197	0.59364786545737	6.29860280517653	0.00627673116932418
g199	2.15044961886106	8.9756861592569	5.01475277967444e-28
g200	2.92747127238504	1.9633501462663	1.97905953488711e-07
g201	0.671703784883711	7.00535788253601	0.00808663562760523
g202	2.13038660370382	1.12900255873972	1.39329701786454e-12
g203	2.03904105750088	7.80704002279712	1.1624000037457e-19
g205	0.509249712135202	8.69575613669345	0.0980934339438891
g207	1.37745004448217	7.7888349436359	1.09913820792406e-14
g208	1.42894897826804	1.76068035229891	1.01875605865734e-05
g209	1.01020856231566	1.72271768541585	0.0683567608229448
g210	1.98766758511397	7.34638807305558	9.37994284070245e-10
g211	2.61388973554296	6.41045271054337	9.43957451465732e-32
g213	1.22019636420945	6.02041196099099	1.08526231096892e-06
g214	1.07555754140887	2.08999774676764	0.00191546112317144
g215	2.22757021959386	4.58326956787207	2.43860390155587e-10
g216	0.330319264445442	4.67376278185028	0.23012584022383
g217	1.51798633854094	7.10914760916885	5.84511444970704e-09
g218	1.81125382269211	2.18222206215098	0.000523701161055514
g219	1.31715418729204	8.69639889794248	1.2613829815304e-20
g220	0.531239743388363	1.5614952349481	0.493042481150385
g221	2.50591918757448	3.12005522218858	1.18137638893782e-07
g222	1.86314219321631	4.06021120746763	1.60669952541353e-15
g223	1.1492024355225	3.89994947619885	9.16219487343532e-10
g224	1.02833361599852	0.96998289474518	0.0319495154084061
g225	0.612318652645093	6.22416019554664	0.0197936615042059
g226	1.08330833755984	8.86333431756171	7.63748451992306e-09
g227	1.45197464968611	8.27552845772033	6.82722793848152e-10
g228	1.39627606262117	9.70734849889425	8.97095739216351e-28
g229	1.06648012775245	8.88499079207473	1.39260119989834e-11
g230	1.84425473181323	6.31047793803755	1.94550888436751e-16
g231	0.73651754685636	4.9861879885584	0.0174375263594999
g232	0.816359634856848	6.45246231969798	0.0159048207414901
g233	1.7571020473637	3.90704691867837	7.6287274354562e-08
g234	1.01558017181226	3.0880185218199	0.045252558404218
g235	1.01536673982452	3.01627758128507	6.25610044523225e-05
g238	1.4459452803251	7.14540731286996	7.5330415761124e-08
g239	0.853443513807394	0.703428538317675	0.0691502689764052
g240	0.378334634712737	3.55961625887274	0.0647175701790813
g241	1.7923730606938	6.87258998439266	3.98196342650378e-08
g242	2.21279140939671	2.89057845314693	5.47071991166147e-06
g244	1.78159272793024	5.86575143859531	2.06665956982373e-10
g245	1.46846906068402	3.30710800198156	3.74162553846158e-05
g246	1.06442011138571	6.00682889443051	0.0338517770742375
g248	1.1976442129395	3.17594950033541	1.37850932101425e-08
g249	1.67439085658309	3.12253329806774	0.000334750991638925
g250	1.61230171010314	2.32215173672696	3.97770910649417e-09
g251	0.70052643552784	8.7297028856453	0.000729371022482827
g256	0.728650083547696	4.16869437403954	0.000686774362691665
g257	0.454694914875006	7.8134843536012	0.0212782288744575
g258	1.51765741090369	0.539945431132412	1.09341677849899e-06
g259	1.96673622646222	7.54012363122621	2.13556807365424e-10
g260	2.19251371391669	4.4588070162062	9.46743486093001e-08
g261	0.550820458136889	2.14946536095349	0.0623531086984939
g262	2.98120474602548	9.83061684378439	5.98022322796246e-20
g264	0.998674733975693	8.63417029087518	1.09804071894747e-06
g265	1.21983266585443	3.71252122727494	0.0708323323271786
g266	1.02507624518005	4.66761439268929	6.16394173485119e-05
g267	0.783746543730748	1.68219651817671	0.00319894345462315
g268	0.720118180209667	4.56209469298298	0.00145589724557612
g269	0.907535130402277	5.28792841568465	0.000964507956395573
g270	0.759353851313533	3.77821692182239	0.00712005044575432
g271	0.327672430972563	6.05285689240204	0.416274904679105
g273	0.454517432255889	6.23309707134057	0.187378541785959
g274	-0.0945799615661538	6.90865275405901	0.70020067962905
g275	2.9576746773039	1.64842321691534	0.00142633590548374
g276	1.00436571629391	1.01324712587901	0.0414958728821026
g277	3.29197795572263	7.11013861635714	2.24459032245571e-19
g278	1.11224856818289	4.40196949899675	6.6872866561258e-08
g279	1.45546769714568	7.30267726528589	1.50953111530505e-09
g280	3.34640070753975	2.42343514653902	0.000434769553507811
g281	0.498723229962504	3.33696567424955	0.0103950788340263
g282	2.24567734360332	5.1159958994002	4.06692508165154e-09
g283	0.789982051057538	4.9921934418623	0.000975383934059316
g284	0.552568179860018	10.3612234143961	0.000183243086917926
g285	0.751814104441947	3.46783471180195	0.305980005713416
g286	0.591679860273735	0.86062914591439	0.286404635073224
g287	-0.223836896109848	4.66249257986408	0.761923000375349
g288	0.444733465490589	4.39364058868506	0.449533899042493
g289	0.755401753947686	2.80994998502024	0.0284161425871009
g290	0.763870891934953	7.56188510816843	0.00252093049070781
g292	0.72621657095142	2.90489125518724	0.256151466042112
g293	1.39304988301034	1.05954437986502	0.00095612966570197
g294	0.644951736076291	6.83036830385155	9.6692691881659e-05
g295	1.87850102063618	3.73647722342231	0.0124798013039033
g296	1.80647140318014	8.91735805151606	3.11979822220263e-24
g297	0.863600659068917	6.49804649098165	0.000233411953584553
g298	1.29164757885247	2.31931345476711	0.000196124203058304
g299	0.980994962741994	8.00267242180392	1.64474005207368e-10
g300	0.899399715554085	7.51044739777425	6.74146912615392e-09
g301	1.25257338369236	8.07126146922201	3.85389592547958e-13
g302	1.5890593554908	2.29111866758861	0.00924581697962963
g303	0.679115366900934	6.71603509122025	1.82692055900783e-06
g304	0.72274119555718	2.23245536803722	0.261834785815881
g305	0.955031114317462	7.90845322735476	9.04582165016101e-06
g306	1.69434595517736	2.77221466349822	2.16172552115828e-06
g307	0.590821369579764	4.33180451740962	0.0013413134193317
g308	1.77470576292748	6.0763810278832	3.12173065698062e-05
g309	0.818830449156898	5.8317660086271	0.00118997384130321
g310	0.974302241429725	6.52337153498625	7.65980983463356e-08
g311	0.82204268948872	5.40456523414994	0.0102420739023929
g312	1.95285978502227	3.52273009276459	4.7357881220718e-12
g313	1.16749594115584	0.328272293065621	0.000678558719858031
g314	1.574426535588	8.84148903843895	2.50923237242362e-19
g318	1.9213470267056	9.60799238159756	6.54771206448655e-30
g319	1.32742094478699	7.07729059654951	1.47281319855733e-06
g320	0.897766357476931	5.66697458894786	1.75195363761605e-06
g322	1.91430524317906	1.50631019184391	7.07203062764547e-08
g323	1.17897594043516	9.46473540497621	2.24171195779688e-08
g324	2.01877827937348	8.51395109474719	1.51519821827983e-40
g325	2.10235818078913	3.84603571114595	4.06219519932017e-12
g326	0.44239814316399	0.627814905722798	0.171674038829346
g327	1.68880133238298	5.05172014781076	1.76767845676236e-07
